movie_name,ranking,score,score_num
罗生门,190,8.8,172099
海街日记,191,8.7,207649
黑客帝国3：矩阵革命,192,8.6,219552
天书奇谭,193,9.1,86256
阿飞正传,194,8.5,289583
香水,195,8.5,356755
朗读者,196,8.5,330357
可可西里,197,8.7,168203
浪潮,198,8.7,170814
谍影重重2,199,8.6,214801
牯岭街少年杀人事件,200,8.8,146133
谍影重重,201,8.6,255975
战争之王,202,8.6,221455
地球上的星星,203,8.9,117810
疯狂的石头,204,8.4,441886
惊魂记,205,8.9,117640
青蛇,206,8.5,297906
初恋这件小事,207,8.3,620182
终结者2：审判日,208,8.6,194292
源代码,209,8.4,513983
步履不停,210,8.8,135338
新龙门客栈,211,8.5,252332
小萝莉的猴神大叔,212,8.5,262196
爱在午夜降临前,213,8.8,163101
一次别离,214,8.7,165961
追随,215,8.9,106481
功夫,216,8.4,446681
再次出发之纽约遇见你,217,8.5,240085
无耻混蛋,218,8.5,288470
撞车,219,8.6,216611
奇迹男孩,220,8.6,312717
东京物语,221,9.2,71407
梦之安魂曲,222,8.7,142815
头号玩家,223,8.7,799668
城市之光,224,9.3,63312
彗星来的那一夜,225,8.5,268726
血钻,226,8.6,191085
绿里奇迹,227,8.7,142335
2001太空漫游,228,8.7,145197
聚焦,229,8.8,169631
疯狂的麦克斯4：狂暴之路,230,8.6,288131
这个男人来自地球,231,8.5,241444
E.T. 外星人,232,8.5,207371
末路狂花,233,8.7,135790
釜山行,234,8.4,538040
黑鹰坠落,235,8.6,165549
发条橙,236,8.5,234501
变脸,237,8.4,268727
勇闯夺命岛,238,8.6,179350
新世界,239,8.7,140631
我爱你,240,9.0,82838
黄金三镖客,241,9.1,69761
国王的演讲,242,8.4,429705
遗愿清单,243,8.6,185660
非常嫌疑犯,244,8.6,160022
秒速5厘米,245,8.3,404221
千钧一发,246,8.7,127745
卡萨布兰卡,247,8.6,158045
驴得水,248,8.3,489045
四个春天,249,8.9,83986
美国丽人,250,8.5,234966
